# Per-region net dB on 20 m. Generated by tools/compare_options.py.
# net = long-wire pattern (best leg) + ground-reflection response at
# the terrain-adjusted arrival angle. See METHOD.md for confidence.
region,bearing_true_deg,BASE,A,V1,V2,V3,S1,S2,S3,S4,S5,T30,T45,T60,T75,T-APEX
Moscow,11.7,-10.4,-4.6,-6.4,-7.2,-27.2,-44.4,-34.4,-36.0,-9.0,-8.7,-8.4,-6.0,-5.7,-4.7,-3.8
Kyiv,17.4,-9.4,-5.3,-7.0,-7.8,-46.9,-34.7,-26.8,-27.0,-6.4,-9.1,-9.2,-6.5,-5.7,-4.8,-4.0
Central Europe,30.5,-9.7,-4.8,-6.6,-7.4,-23.4,-21.3,-15.7,-14.2,-5.6,-13.4,-9.0,-7.4,-5.7,-4.8,-4.5
United Kingdom,34.5,-9.9,-5.1,-6.8,-7.5,-17.9,-17.8,-12.6,-10.9,-5.7,-14.9,-6.7,-7.3,-5.5,-4.6,-4.5
Iberia,43.6,-14.4,-9.5,-11.2,-12.0,-13.0,-14.0,-9.9,-7.3,-10.0,-22.7,-3.8,-7.3,-5.7,-4.8,-4.9
South Africa,58.3,-31.5,-13.9,-15.8,-16.7,-18.0,-17.5,-15.1,-11.0,-26.5,-49.4,-7.6,-9.9,-9.2,-8.2,-8.7
US Northeast,83.5,-5.1,-2.8,-4.1,-4.7,-21.1,-29.5,-48.8,-27.3,-121.4,-35.8,-6.1,-5.4,-4.2,-3.5,-4.2
US Midwest,90.6,-3.1,-4.8,-5.4,-5.8,-26.6,-48.7,-24.5,-35.6,-46.5,-22.7,-8.3,-6.4,-4.7,-3.8,-4.3
Caribbean,103.5,-11.2,-16.0,-17.5,-18.2,-59.0,-15.9,-9.9,-9.0,-23.2,-14.3,-9.6,-5.5,-3.2,-3.5,-4.4
US Southeast,108.7,-12.5,-14.9,-16.1,-16.8,-99.1,-10.3,-5.8,-4.2,-16.2,-9.5,-8.6,-4.1,-3.2,-3.4,-4.1
Denver,116.6,-9.8,-7.8,-8.0,-8.3,-53.9,-4.4,-1.7,-0.3,-8.3,-3.5,-7.9,-6.1,-5.1,-4.1,-4.6
Dallas,118.9,-8.4,-6.3,-6.6,-6.9,-46.2,-4.2,-1.8,-0.1,-6.8,-2.9,-7.3,-5.9,-5.0,-4.1,-4.6
South America,131.5,-13.1,-8.0,-9.8,-10.7,-33.6,-16.0,-14.4,-9.7,-9.1,-11.8,-6.9,-4.7,-5.1,-6.0,-6.6
SoCal,166.9,-17.6,-7.2,-6.1,-6.2,-2.6,-36.7,-45.2,-36.6,-21.0,-19.3,-9.8,-8.0,-6.2,-5.3,-5.7
New Zealand,226.8,-13.0,-8.7,-10.2,-10.9,-8.8,-9.7,-6.0,-3.5,-9.0,-22.8,-1.4,-6.1,-4.8,-3.8,-4.1
Hawaii,240.2,-21.2,-3.0,-3.7,-4.2,-5.9,-5.2,-3.6,-0.7,-18.0,-42.0,-1.6,-5.8,-4.7,-3.8,-4.2
Australia VK2,243.7,-18.3,-3.5,-5.0,-5.8,-10.7,-9.8,-8.4,-4.1,-24.8,-57.1,-1.9,-5.0,-4.9,-3.9,-4.4
Australia VK6,268.2,-7.9,-6.7,-8.3,-9.1,-28.9,-65.0,-39.1,-87.2,-60.1,-30.8,-8.2,-6.5,-4.4,-3.9,-4.9
Japan,300.8,-11.1,-6.8,-8.2,-8.9,-45.1,-8.1,-5.5,-2.3,-7.9,-6.0,-5.6,-1.7,-2.5,-3.3,-4.0
Shanghai,309.5,-8.8,-4.2,-5.8,-6.5,-31.2,-10.5,-8.8,-4.6,-5.2,-6.8,-3.9,-1.7,-2.7,-3.6,-4.1
Vladivostok,311.0,-7.4,-3.0,-4.5,-5.2,-28.3,-9.9,-8.4,-4.2,-3.9,-5.9,-3.1,-1.7,-2.6,-3.4,-3.8
Beijing,318.1,-8.0,-3.3,-4.9,-5.7,-22.7,-14.3,-13.6,-8.6,-4.1,-9.6,-2.6,-3.2,-3.2,-3.8,-4.0
Alaska,320.8,-2.0,-0.1,-0.2,-0.5,-14.1,-9.2,-9.4,-6.0,-0.0,-5.1,-3.3,-6.5,-5.1,-4.2,-4.7
India,342.8,-27.0,-17.0,-18.9,-19.7,-16.2,-42.4,-46.8,-37.4,-21.6,-46.6,-8.4,-9.9,-7.8,-7.2,-6.3
Novosibirsk,345.5,-27.3,-11.3,-13.0,-13.8,-11.6,-42.9,-49.1,-38.5,-22.6,-31.0,-6.2,-6.7,-5.2,-4.5,-3.5
