# Aggregate per option per band, across all 25 regions.
# aggregate_dB  = normalised to the wire's own peak (compare options
#                 within one band only).
# aggregate_dBi = aggregate_dB + band peak directivity. THIS is the
#                 one to compare across bands.
# n_workable counts regions at or above -5.0 dBi; holes below -10.0.
# mean_imax_height_ft is band-specific: the current maxima move with
# the harmonic number. Pure arithmetic, HIGH confidence.
# peak_elev_deg: ground-reflection lobe for flat options; for slant
# options a numeric scan of the slant model (METHOD.md s9, LOW).
key,band,freq_MHz,n_half_waves,aggregate_dB,aggregate_dBi,median_dB,worst_dB,n_workable,n_holes,mean_imax_height_ft,peak_elev_deg,label
BASE,80m,3.550,1,-14.61,-12.46,-16.4,-21.8,0,22,22.5,zenith,"Baseline as first described (feed 10 ft, apex 35 ft)"
BASE,40m,7.100,2,-12.45,-8.65,-15.3,-25.5,2,15,22.5,zenith,"Baseline as first described (feed 10 ft, apex 35 ft)"
BASE,20m,14.150,4,-9.04,-3.74,-10.4,-31.5,12,6,22.5,51,"Baseline as first described (feed 10 ft, apex 35 ft)"
BASE,15m,21.200,6,-6.39,0.01,-6.8,-19.4,21,2,22.5,31,"Baseline as first described (feed 10 ft, apex 35 ft)"
BASE,10m,28.500,8,-6.23,0.87,-9.5,-63.2,15,6,22.5,23,"Baseline as first described (feed 10 ft, apex 35 ft)"
A,80m,3.550,1,-9.98,-7.83,-11.1,-17.2,3,9,50.0,zenith,"Bent flat-top, 2 tree supports (RECOMMENDED)"
A,40m,7.100,2,-8.60,-4.80,-12.4,-29.2,9,11,38.5,56,"Bent flat-top, 2 tree supports (RECOMMENDED)"
A,20m,14.150,4,-5.51,-0.21,-6.3,-17.0,20,2,41.0,25,"Bent flat-top, 2 tree supports (RECOMMENDED)"
A,15m,21.200,6,-4.34,2.06,-4.9,-19.3,20,3,40.2,16,"Bent flat-top, 2 tree supports (RECOMMENDED)"
A,10m,28.500,8,-4.84,2.26,-5.8,-99.2,21,3,41.0,12,"Bent flat-top, 2 tree supports (RECOMMENDED)"
V1,80m,3.550,1,-11.77,-9.62,-13.0,-19.1,1,17,30.0,zenith,"Inverted-V, ONE tree support at 50 ft, feed 24 ft"
V1,40m,7.100,2,-10.06,-6.26,-14.2,-30.9,6,13,33.5,zenith,"Inverted-V, ONE tree support at 50 ft, feed 24 ft"
V1,20m,14.150,4,-6.57,-1.27,-6.8,-18.9,19,4,33.5,32,"Inverted-V, ONE tree support at 50 ft, feed 24 ft"
V1,15m,21.200,6,-4.74,1.66,-5.2,-20.9,19,3,33.5,20,"Inverted-V, ONE tree support at 50 ft, feed 24 ft"
V1,10m,28.500,8,-4.49,2.61,-5.3,-29.7,20,2,33.5,15,"Inverted-V, ONE tree support at 50 ft, feed 24 ft"
V2,80m,3.550,1,-12.58,-10.43,-13.9,-20.0,1,21,30.0,zenith,"Inverted-V, ONE tree support at 50 ft, feed 10 ft"
V2,40m,7.100,2,-10.76,-6.96,-15.1,-31.7,4,14,30.0,zenith,"Inverted-V, ONE tree support at 50 ft, feed 10 ft"
V2,20m,14.150,4,-7.14,-1.84,-7.5,-19.7,17,4,30.0,35,"Inverted-V, ONE tree support at 50 ft, feed 10 ft"
V2,15m,21.200,6,-5.06,1.34,-5.8,-21.6,19,3,30.0,23,"Inverted-V, ONE tree support at 50 ft, feed 10 ft"
V2,10m,28.500,8,-4.47,2.63,-5.5,-28.4,20,2,30.0,17,"Inverted-V, ONE tree support at 50 ft, feed 10 ft"
V3,80m,3.550,1,-20.25,-18.10,-23.2,-49.1,0,24,17.0,zenith,"Inverted-V on a 24 ft PVC mast (symmetric)"
V3,40m,7.100,2,-19.34,-15.54,-28.1,-112.9,0,24,17.0,zenith,"Inverted-V on a 24 ft PVC mast (symmetric)"
V3,20m,14.150,4,-12.96,-7.66,-23.4,-99.1,3,18,17.0,zenith,"Inverted-V on a 24 ft PVC mast (symmetric)"
V3,15m,21.200,6,-11.97,-5.57,-18.9,-91.1,4,14,17.0,43,"Inverted-V on a 24 ft PVC mast (symmetric)"
V3,10m,28.500,8,-12.16,-5.06,-19.9,-85.6,6,14,17.0,31,"Inverted-V on a 24 ft PVC mast (symmetric)"
S1,80m,3.550,1,-17.71,-15.56,-20.5,-35.9,0,24,17.0,zenith,"Straight sloper to a 24 ft PVC mast, feed 10 ft, bearing 358T"
S1,40m,7.100,2,-15.74,-11.94,-22.5,-58.3,1,18,17.0,zenith,"Straight sloper to a 24 ft PVC mast, feed 10 ft, bearing 358T"
S1,20m,14.150,4,-10.98,-5.68,-15.0,-93.4,9,12,17.0,zenith,"Straight sloper to a 24 ft PVC mast, feed 10 ft, bearing 358T"
S1,15m,21.200,6,-10.05,-3.65,-11.6,-47.9,12,9,17.0,43,"Straight sloper to a 24 ft PVC mast, feed 10 ft, bearing 358T"
S1,10m,28.500,8,-10.28,-3.18,-19.9,-78.8,10,14,17.0,31,"Straight sloper to a 24 ft PVC mast, feed 10 ft, bearing 358T"
S2,80m,3.550,1,-14.94,-12.79,-17.6,-34.9,0,20,24.0,zenith,"Straight sloper to a 24 ft PVC mast, feed 24 ft, bearing 355T"
S2,40m,7.100,2,-13.18,-9.38,-20.8,-62.5,2,16,24.0,zenith,"Straight sloper to a 24 ft PVC mast, feed 24 ft, bearing 355T"
S2,20m,14.150,4,-8.53,-3.23,-12.6,-49.1,12,9,24.0,46,"Straight sloper to a 24 ft PVC mast, feed 24 ft, bearing 355T"
S2,15m,21.200,6,-7.63,-1.23,-7.8,-50.9,15,10,24.0,29,"Straight sloper to a 24 ft PVC mast, feed 24 ft, bearing 355T"
S2,10m,28.500,8,-8.25,-1.15,-13.6,-35.9,11,9,24.0,21,"Straight sloper to a 24 ft PVC mast, feed 24 ft, bearing 355T"
