"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact/Talk Group","Contact/Talk Group Call Type","Contact/Talk Group TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","RX Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Digital Duplex","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Idle TX","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana APRS Mute","Send Talker Alias DMR/NX","AnaAprsTxPath","ARC4","ex_emg_kind","Rpga_Mdc","DisturEn","DisturFreq","dmr_crc_ignore","compand","tx_talkalaes","dup_call","tx_int","BtRxState","idle_tx","nxdn_wn","NxdnRpga","nxdnSqCon","NxdnTxBusy","NxDnPttId","EnRan","DeRan","NxdnEncry","NxdnGroupId","NxdnIdNum","NxdnStateNum","txcc"
"1","W7JCR Prt Twnsnd","145.15000","144.55000","A-Analog","High","25K","Off","114.8","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"2","W7PSE Olympia","145.15000","144.55000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"3","NM7E Belfair","145.17000","144.57000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4","W7DK Tacoma","145.21000","144.61000","A-Analog","High","25K","Off","141.3","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"5","K7DNR Ashford","145.25000","144.65000","A-Analog","High","25K","Off","151.4","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"6","KC7IYE Redmond","145.31000","144.71000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"7","K7NWS Tgr Mtn W","145.33000","144.73000","A-Analog","High","25K","Off","179.9","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8","W7AAO Enumclaw","145.37000","144.77000","A-Analog","High","25K","Off","136.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"9","N7IG Port Orchrd","145.39000","144.79000","A-Analog","High","25K","Off","88.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"10","WB7DOB Crystl","145.41000","144.81000","A-Analog","High","25K","Off","162.2","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"11","KD7WDG Slvrdl","145.42500","144.82500","A-Analog","High","12.5K","Off","88.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"12","KB7CNN Alder","145.45000","144.85000","A-Analog","High","25K","Off","110.9","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"13","K7LWH Kirkland","145.49000","144.89000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
