family,family_label,measurement_context,measurement_context_label,service,service_label,configuration,configuration_label,source,coverage_status,minimum_swr,median_swr,maximum_swr,coverage_at_or_below_2_percent,coverage_at_or_below_3_percent
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,6m,6m amateur,remtronix-920,BNC direct,broadband,gap,very poor / outside calibrated dynamic range,very poor / outside calibrated dynamic range,very poor / outside calibrated dynamic range,0.0,0.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,fm-broadcast,FM broadcast,remtronix-920,BNC direct,averaged_zoom,gap,2.1555995129392524,43.08333334960293,461.62870831804037,0.0,4.94752623688156
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,civil-air,Civil air,remtronix-920,BNC direct,broadband,gap,20.618099246057522,60.475388224668045,90.95303695070247,0.0,0.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,2m,2m amateur,remtronix-920,BNC direct,broadband,gap,113.51932772079991,161.53277127188215,388.92887871702385,0.0,0.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,vhf-lmr,VHF LMR,remtronix-920,BNC direct,broadband,gap,211.8195166354512,very poor / outside calibrated dynamic range,very poor / outside calibrated dynamic range,0.0,0.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,marine-vhf,Marine VHF,remtronix-920,BNC direct,broadband,gap,very poor / outside calibrated dynamic range,very poor / outside calibrated dynamic range,very poor / outside calibrated dynamic range,0.0,0.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,railroad,Railroad,remtronix-920,BNC direct,broadband,gap,very poor / outside calibrated dynamic range,very poor / outside calibrated dynamic range,very poor / outside calibrated dynamic range,0.0,0.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,noaa-weather,NOAA weather,remtronix-920,BNC direct,broadband,gap,very poor / outside calibrated dynamic range,very poor / outside calibrated dynamic range,very poor / outside calibrated dynamic range,0.0,0.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,1.25m,1.25m amateur,remtronix-920,BNC direct,broadband,gap,20.427611460916026,21.833575485582806,23.27609813301683,0.0,0.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,military-air,Military air,remtronix-920,BNC direct,averaged_zoom,partial only,1.0344057635288866,4.45841575768577,35.215690119997426,17.978202179782024,33.256674332566746
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,federal-uhf,Federal UHF,remtronix-920,BNC direct,broadband,gap,8.739251887563315,9.332830043683842,very poor / outside calibrated dynamic range,0.0,0.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,70cm,70cm amateur,remtronix-920,BNC direct,broadband,gap,8.364821501183076,9.21698866588915,11.156967704209574,0.0,0.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,uhf-lmr,UHF LMR,remtronix-920,BNC direct,broadband,gap,10.239019134992619,11.229665552996101,29.838580519608847,0.0,0.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,t-band,T-band,remtronix-920,BNC direct,broadband,gap,8.96185096699421,17.069548976117446,29.79069970853643,0.0,0.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,700-public-safety-downlink,700 MHz public safety,remtronix-920,BNC direct,averaged_zoom,broad <=2:1,1.7176590997205512,1.7739438105204273,1.8146715375778906,100.0,100.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,800-public-safety-downlink,800 MHz public safety,remtronix-920,BNC direct,averaged_zoom,broad <=2:1,1.1092756215855757,1.1718207902175006,1.3080970036379178,100.0,100.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,33cm,33cm amateur,remtronix-920,BNC direct,averaged_zoom,broad <=2:1,1.3820449860328483,1.7499773083665529,2.095907029756419,99.9000499750125,100.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,900-trunking-downlink,900 MHz trunking,remtronix-920,BNC direct,averaged_zoom,broad <=3:1,1.870243389016513,1.9911961374537155,2.0575964782966665,65.33466533466533,100.0
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,uat-978,UAT 978,remtronix-920,BNC direct,averaged_zoom,broad <=3:1,2.4924044600268345,2.7646140853526755,3.176579113698568,0.0,99.9000999000999
remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,ads-b-1090,ADS-B 1090,remtronix-920,BNC direct,averaged_zoom,partial only,2.5994827798695206,3.010404779329239,3.6655422392940213,0.0,40.55944055944056
